uwi,long,lat,lease,operator,fake_number
262,-102.4093167,32.2491833,UNIVERSITY LANDS DIGGER,DIAMONDBACK EXPLORATION & PROD LLC,72
263,-102.9183695,32.5040694,BELLA,TEXLAND PETROLEUM LIMITED PARTNERSHIP,41
264,-102.2559395,32.3454411,UNIVERSITY `7-43`,PIONEER NATURAL RESOURCES USA INC,80
265,-102.7557944,32.3926758,UNIVERSITY LANDS 13 DUBLIN SA,LIME ROCK RESOURCES IV A LP,12
266,-102.8814017,32.2516783,UNIVERSITY 12-9,CIMAREX ENERGY COMPANY,55
267,-102.8120694,32.0995139,POWER BAR UNIVERSITY 30-31 UNIT,APACHE CORPORATION,45
268,-102.8132389,32.1020889,POWER BAR UNIVERSITY 30-31 UNIT,APACHE CORPORATION,96
269,-102.815414,32.1457116,UNIVERSITY TB(SHALLOW) UNIT A-1,APACHE CORPORATION,92
270,-102.812088,32.147078,UNIVERSITY TB(SHALLOW) UNIT A-1,APACHE CORPORATION,62
271,-102.2819,32.2938139,MABEE 240B,COG OPERATING LIMITED LIABILITY CORP,55
272,-102.8272063,32.1590667,UNIVERSITY B11 `5`,MEWBOURNE OIL COMPANY,83
273,-102.6095598,32.3929572,FISHER EARLENE STATE 17,LIME ROCK RESOURCES IV A LP,29
274,-102.6055899,32.4446361,DOW-HALL,TESSARA PETROLEUM RESOURCES LLC,99
275,-102.7393897,32.3899106,UNIVERSITY LANDS 13 JAFFREY,LIME ROCK RESOURCES IV A LP,81
276,-102.636565,32.4166153,FISHER 9B,LIME ROCK RESOURCES IV A LP,89
277,-102.6209489,32.4372233,SAVAGE,TESSARA PETROLEUM RESOURCES LLC,35
278,-102.827903,32.1896528,PARKER J E,XTO ENERGY INCORPORATED,45
279,-102.8320111,32.1886667,PARKER J E,XTO ENERGY INCORPORATED,19
280,-102.6723244,32.434471,UNIVERSITY BLOCK 14 CONSOLIDATED,TESSARA PETROLEUM RESOURCES LLC,72
281,-102.6746431,32.4414564,UNIVERSITY BLOCK 14 CONSOLIDATED,TESSARA PETROLEUM RESOURCES LLC,69
282,-102.6089889,32.4151556,FISHER 76,LIME ROCK RESOURCES IV A LP,3
283,-102.8095862,32.2063861,CARMICHAEL,APACHE CORPORATION,7
284,-102.8058556,32.2072944,CARMICHAEL,APACHE CORPORATION,11
285,-102.8104278,32.2078972,CARMICHAEL,APACHE CORPORATION,59
286,-102.9174278,32.501225,ALLAR PU,TEXLAND PETROLEUM LIMITED PARTNERSHIP,4
287,-102.2241889,32.2899333,MABEE 24,COG OPERATING LIMITED LIABILITY CORP,9
288,-102.8145834,32.2203194,PARKER OLA STATE 6,APACHE CORPORATION,64
289,-102.633246,32.4155285,FISHER 9C,LIME ROCK RESOURCES IV A LP,55
